params,mean_test_score,std_test_score,fit_time
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",14.63759774163953,1.0303150873234588,0.06399893760681152
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'p': 3, 'weights': 'uniform'}",14.77097079848422,0.8743225591985526,0.1120002269744873
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'p': 3, 'weights': 'distance'}",14.597581951985765,0.9698220502855245,0.1119997501373291
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",13.475111072135808,0.9022705666289512,0.06000018119812012
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",13.259061734670965,0.9808087259299114,0.06100034713745117
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",14.147083569427721,0.7953159022259751,0.06499648094177246
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",13.641587941010533,0.9642053195815796,0.0670008659362793
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 3, 'weights': 'uniform'}",14.123140100390879,0.7591514901570185,0.12000179290771484
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 3, 'weights': 'distance'}",13.607247993540975,0.9177507282973159,0.12000012397766113
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",13.221533717125046,0.8791998225382786,0.06100058555603027
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",12.888370338380875,0.9339186139487103,0.06100034713745117
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",13.99658476389475,0.7242138420721497,0.06800007820129395
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",13.187962474786133,0.8687077633533304,0.06699991226196289
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 3, 'weights': 'uniform'}",14.056452053478614,0.769258673725169,0.128997802734375
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 3, 'weights': 'distance'}",13.2143639126455,0.8881572079818562,0.1340012550354004
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",13.332327906685359,0.898785355406839,0.06600117683410645
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",12.738319155474093,0.9562041101758825,0.06799888610839844
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",14.028972200025867,0.8068977453335398,0.06999969482421875
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",12.977480288344868,0.9027700743924892,0.07300043106079102
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 3, 'weights': 'uniform'}",14.06104887376311,0.7968314315545634,0.13500404357910156
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 3, 'weights': 'distance'}",13.005060098046567,0.8953138146691351,0.13699674606323242
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",13.494292508493908,0.9644665691021688,0.06999969482421875
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",12.471285044229752,0.917225178098172,0.08200502395629883
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",14.054369435182085,0.8705790719085522,0.08799600601196289
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",12.647739661921854,0.9073501851529049,0.08399844169616699
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 3, 'weights': 'uniform'}",14.108419452117172,0.8430569760293075,0.17000198364257812
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 3, 'weights': 'distance'}",12.683339530659095,0.8917944765049798,0.18500018119812012
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 21, 'p': 1, 'weights': 'uniform'}",13.78265158502713,0.9316003778656156,0.08900046348571777
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 21, 'p': 1, 'weights': 'distance'}",12.365724730917453,0.9397366080883676,0.08999919891357422
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 21, 'p': 2, 'weights': 'uniform'}",14.156485335109844,0.9032840368568267,0.09199881553649902
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 21, 'p': 2, 'weights': 'distance'}",12.502792941866378,0.9228333903314754,0.08799958229064941
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 21, 'p': 3, 'weights': 'uniform'}",14.227402268590264,0.9427589978583455,0.22800159454345703
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 21, 'p': 3, 'weights': 'distance'}",12.556775730284897,0.9551974745877146,0.19900035858154297
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",14.017184359577627,0.842833514945558,0.058999061584472656
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",14.098482306810302,1.0227431476294344,0.05800056457519531
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",14.828398221656148,0.911244147669372,0.06000065803527832
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",14.63863649371269,1.0272285027735,0.061998844146728516
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 3, 'weights': 'uniform'}",14.765572980299686,0.8823361915009245,0.13900232315063477
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 3, 'weights': 'distance'}",14.598336818303897,0.9658883688929281,0.141998291015625
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",13.484193156708681,0.9021273169005762,0.057999372482299805
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",13.265286778332234,0.9808619305953167,0.05799984931945801
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",14.143066828597856,0.7978113266757177,0.061002254486083984
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",13.640219875805872,0.9682832218767528,0.062001705169677734
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 3, 'weights': 'uniform'}",14.119226310157563,0.7660886303823973,0.14799976348876953
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 3, 'weights': 'distance'}",13.60529613165706,0.9234016440770872,0.14899873733520508
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",13.223637388110253,0.8818367488996721,0.060999155044555664
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",12.88737039602184,0.9351356016957951,0.06000018119812012
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",13.997243639848318,0.7182138977882792,0.06499886512756348
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",13.1854718427146,0.8681085901025788,0.06400060653686523
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 3, 'weights': 'uniform'}",14.058548867816214,0.7641140808264498,0.15400004386901855
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 3, 'weights': 'distance'}",13.213061240295053,0.8880969221849809,0.15400004386901855
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",13.332269020379522,0.8964812494684897,0.06300020217895508
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",12.739511706750926,0.9557319833879423,0.07199883460998535
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",14.028665748517522,0.8045132818741352,0.06600046157836914
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",12.976357451648761,0.9017813277157603,0.06599950790405273
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 3, 'weights': 'uniform'}",14.059673007990924,0.7938963760340753,0.16300177574157715
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 3, 'weights': 'distance'}",13.00292145850759,0.8944839349760606,0.1640005111694336
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",13.490266734778274,0.9661347280771051,0.06799983978271484
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",12.471026577587264,0.9176554924279505,0.0690004825592041
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",14.051158611200538,0.8705397639128358,0.06999945640563965
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",12.64799214578295,0.9074576768187036,0.07199907302856445
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 15, 'p': 3, 'weights': 'uniform'}",14.104535283494432,0.8433642520246919,0.1829993724822998
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 15, 'p': 3, 'weights': 'distance'}",12.68366086211824,0.8921118073341551,0.18400073051452637
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 21, 'p': 1, 'weights': 'uniform'}",13.78253018938338,0.9321822389609533,0.07400059700012207
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 21, 'p': 1, 'weights': 'distance'}",12.365790555766065,0.939854574067191,0.0749058723449707
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 21, 'p': 2, 'weights': 'uniform'}",14.157359845533994,0.9046299480104278,0.08101081848144531
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 21, 'p': 2, 'weights': 'distance'}",12.502540120941955,0.9227712953868945,0.08506155014038086
