Train Size,Model Params,Train Params,Validation MSE
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",7.3025934027640975
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",4.138398852038287
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",3.8246661965175717
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",3.9945291795529743
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",13.527668530896355
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",12.957238528145055
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",13.46325996560022
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",6.928247483515537
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",6.884666100547963
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",7.021102795272161
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",3.784820466887633
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",3.750916553412663
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",3.504579483901524
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",12.529962954997377
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",12.38487469561211
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",12.635256314853981
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",7.056263407803779
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",7.239803079494754
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",6.993202492572584
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",3.8534131374123475
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",3.501586141385462
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",3.983543339940444
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",10.514547616813868
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",11.251835982589018
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",10.305729569684875
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",5.1129886476289075
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",4.911387220284718
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",5.074436370386804
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",3.459603569117033
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",3.7405048240209595
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",3.5733693668427895
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",9.32326060332852
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",9.815351826815277
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",9.20673354827314
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",5.181819311300195
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",5.043011267777313
