,Unnamed: 0,smiles,VI,DVI,visco@40C[cP],visco@100C[cP],kvisco@40C[cSt],kvisco@100C[cSt],rho40,rho100,I1_040,I1_100,magdipole,NumRings,SELFIES,WhackVisc
12,15044,CCCCC(c1ccccc1)C=CCC(CCCC(CCC1CCCCC1)OC)C=C,147.86475713695614,138.73138457577795,22.859064784424618,4.6731465738251385,25.058872007526432,5.25675988348216,0.9122144355723154,0.8889785109852826,0.1640546399999999,0.1598466399999999,0.9687405649111356,2,[C][C][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][C][Branch2][Ring1][Ring1][C][C][C][C][Branch1][O][C][C][C][C][C][C][C][C][Ring1][=Branch1][O][C][C][=C],4.6731465738251385
13,53909,CCCOCC=CCCC=CCCC=CCC(OC)C=C,0.0,151.31826413738025,3.549062054961593,1.2777686850556345,4.083341350464276,1.4809896678616512,0.869156347792982,0.8627802832011378,0.13985734,0.13993636,1.2249423554691348,0,[C][C][C][O][C][C][=C][C][C][C][=C][C][C][C][=C][C][C][Branch1][Ring1][O][C][C][=C],1.2777686850556345
14,33279,CC=CCCC=CCCOCCCCCCCCC(CCC1CCCCC1)=O,113.7098342346776,126.82151825780193,17.373979707253266,3.5613488471201467,19.421705227173472,4.124050997839143,0.8945651014692998,0.8635559669330392,0.16209124,0.1553974,2.044451535517068,1,[C][C][=C][C][C][C][=C][C][C][O][C][C][C][C][C][C][C][C][C][Branch1][O][C][C][C][C][C][C][C][C][Ring1][=Branch1][=O],3.5613488471201467
15,24591,COCC=CCC(OC)(c1ccccc1)CCCCOCc1ccccc1,130.8097165686645,145.68354340802762,13.940894127705851,3.40741759850645,14.265631163603237,3.532964657137048,0.9772364060045304,0.9644641056974694,0.15905788,0.15720052,1.2963415311675075,2,[C][O][C][C][=C][C][C][Branch1][Ring1][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],3.40741759850645
16,14842,CCCC=CCCOCCCCC(c1ccccc1)CCC1CCCCC1,148.23518861356234,145.05759712049087,15.50675903892859,3.6702319127683816,17.17340440762168,4.12870612926727,0.90295195238322,0.8889545048389639,0.16229106,0.16083066,1.3143715846456212,2,[C][C][C][C][=C][C][C][O][C][C][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][C][C][C][C][Ring1][=Branch1],3.6702319127683816
17,50539,CC=CCCOCCCCCC=CCC(c1ccccc1),0.0,123.4413724703995,5.591134063466539,1.555087729994566,6.146275484906137,1.781019489125757,0.9096784023425408,0.8731447013855569,0.15159256,0.14549958,0.8965551585929473,1,[C][C][=C][C][C][O][C][C][C][C][C][C][=C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1.555087729994566
18,32774,COCCCC=CCCC=CCCOCOC(CCCC=O)OCOC=O,114.75206431506608,143.8189910806869,11.57590073549346,2.9340212331197093,11.88354888093428,3.048452463452896,0.9741114250866252,0.962462517718392,0.15583646,0.15320724,1.219736472707252,0,[C][O][C][C][C][C][=C][C][C][C][=C][C][C][O][C][O][C][Branch1][=Branch1][C][C][C][C][=O][O][C][O][C][=O],2.9340212331197093
19,28786,COCC=CCC(OCOCCCc1ccccc1)CCc1ccccc1,122.9897726022582,141.07957431472897,15.634296422894948,3.5946405810165656,15.899133587017255,3.7193781288100687,0.9833426669023924,0.9664627947270824,0.16186028,0.1590925799999999,0.4322444887991676,2,[C][O][C][C][=C][C][C][Branch1][#C][O][C][O][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],3.5946405810165656
20,39666,CC=CCCOC(C=CCCc1ccccc1)C=CCC=O,93.4640892871983,143.8380949985324,6.21664007624342,1.8561528287193303,6.667018119536188,2.033057806049663,0.9324468547680952,0.9129857612489296,0.14734334,0.1447332399999999,2.209026332738401,1,[C][C][=C][C][C][O][C][Branch1][=N][C][=C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][C][=O],1.8561528287193303
21,25132,CC=CCCCC(c1ccccc1)CCCCCCC=Cc1ccccc1,129.87140518028264,137.98381950361426,15.212576592683252,3.454317081361616,16.354831679356383,3.843084865790545,0.930157942981772,0.8988396566806084,0.16056072,0.1566682199999999,0.6131896570938106,2,[C][C][=C][C][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][C][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],3.454317081361616
