Thermal_Conductivity_40C,Thermal_Conductivity_100C,Density_40C,Density_100C,Heat_Capacity_40C,Heat_Capacity_100C,Viscosity_40C,Viscosity_100C,SELFIES
0.194,0.183,0.997,0.954,5.262690189,5.433722004,0.94090139,-0.057141943,[C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
0.139,0.131,0.928,0.883,5.318119994,5.497168225,0.678033543,-0.261364764,[C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.139,0.131,0.928,0.883,5.318119994,5.497168225,0.587786665,-0.223143551,[C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.184,0.174,1.085,1.045,5.33753808,5.497168225,2.0255132,0.457424847,[O][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.126,0.118,0.939,0.895,5.347107531,5.517452896,0.683096845,-0.15082289,[C][Branch1][C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
0.143,0.134,0.844,0.801,5.433722004,5.59471138,0.182321557,-0.562118918,[C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.137,0.127,0.844,0.799,5.463831805,5.620400866,0.270027137,-0.446287103,[C][C][C][C][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.107,0.105,0.872,0.829,5.438079309,5.624017506,1.111857515,0.19062036,[C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][=Branch1]
0.118,0.11,0.864,0.821,5.455321115,5.638354669,0.518793793,-0.274436846,[C][C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][C][C][C][C][C][Ring1][Branch1]
0.123,0.115,0.801,0.752,5.568344504,5.730099783,0.246860078,-0.415515444,[C][C][C][C][C][C][C][C][C][C][C][Ring1][=Branch1][C]
0.122,0.113,0.82,0.773,5.568344504,5.730099783,0.559615788,-0.198450939,[C][C][C][Branch1][Ring1][C][C][C][C][C][C][C][C][C][Ring1][=Branch1]
0.122,0.114,0.81,0.768,5.564520407,5.733341277,0.518793793,-0.235722334,[C][C][C][C][Branch1][Ring1][C][C][C][C][C][C][C][C][Ring1][=Branch1]
0.16,0.152,1.097,1.051,5.59471138,5.733341277,2.186051277,0.955511445,[C][=Branch1][P][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C][=Branch1][C][=O][O][C][C]
0.114,0.106,0.819,0.772,5.568344504,5.736572297,1.280933845,0.182321557,[C][C][Branch1][Ring2][C][C][C][Branch1][C][C][C][C][C][C][C][C][Ring1][=Branch1]
0.129,0.12,0.794,0.752,5.590986981,5.752572639,0.400117502,-0.415515444,[C][C][C][C][C][C][C][C][C][C][C][C][Ring1][=Branch1]
0.13,0.121,0.788,0.745,5.613128106,5.765191103,0.294161039,-0.46203546,[C][C][C][C][C][C][C][C][C][C][C][C][Ring1][Branch1]
0.137,0.126,0.743,0.699,5.627621114,5.774551546,-0.040821995,-0.733969175,[C][C][C][C][C][C][C][C][C][C][C][=C]
0.14,0.13,0.746,0.703,5.641907071,5.783825182,0.039220713,-0.693147181,[C][C][C][C][C][C][=C][C][C][C][C][C]
0.126,0.117,0.748,0.704,5.645446898,5.786897381,-0.328504067,-0.891598119,[C][C][C][C][C][C][=C][C][Branch1][C][C][C][C][C]
0.127,0.117,0.754,0.709,5.645446898,5.786897381,-0.301105093,-0.867500568,[C][C][C][C][C][/C][=Branch1][=Branch1][=C][/C][C][C][C][/C]
0.128,0.118,0.739,0.694,5.680172609,5.828945618,-0.030459207,-0.616186139,[C][C][C][C][C][C][C][Branch1][C][C][C][C][C][C]
0.121,0.111,0.739,0.694,5.680172609,5.831882477,-0.13694292,-0.750945799,[C][C][C][C][C][Branch1][Ring1][C][C][C][C][C][Branch1][C][C][C]
0.114,0.106,0.756,0.712,5.683579767,5.831882477,0.470003629,-0.46203546,[C][C][C][C][Branch1][Ring1][C][C][Branch1][Ring2][C][C][C][C][C][C]
0.113,0.104,0.73,0.684,5.680172609,5.834810737,-0.248461359,-0.94160854,[C][C][C][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][C][Branch1][C][C][C]
0.099,0.091,0.747,0.702,5.683579767,5.837730447,0.463734016,-0.248461359,[C][C][C][Branch1][C][C][Branch1][C][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C]
0.121,0.112,0.734,0.689,5.690359454,5.843544417,0,-0.733969175,[C][C][C][C][C][C][C][Branch1][C][C][C][C][Branch1][C][C][C]
0.167,0.158,0.82,0.777,5.707110265,5.857933154,2.270061901,0.698134722,[C][C][C][C][C][C][C][C][C][C][C][C][O]
