Train Size,Model Params,Train Params,Validation MSE,Average Training Time
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.133758831145261,41.191878175735475
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 64}",7.780992904418371,36.25679864883423
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 128}",7.676133648567688,35.75787343978882
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 8}",8.415228341459244,117.14035844802856
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 16}",7.6702159035557544,110.91652998924255
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 32}",8.744943405941118,58.22169380187988
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 64}",7.5321215345761745,48.43642497062683
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 128}",8.966215030785659,31.847355937957765
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 8}",8.585489414164648,171.9801163673401
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 16}",8.544525519147902,87.78195986747741
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.510458518264842,72.11126604080201
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 64}",8.561231698618027,67.61399974822999
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 128}",7.740035952932052,71.44192895889282
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 8}",9.391717157632701,146.67623796463013
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 16}",9.129958952509103,99.30107250213624
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 32}",17.931969191071545,160.6263364315033
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 64}",10.264667387515086,71.50851850509643
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 128}",16.239453061749632,192.6450654029846
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 8}",8.199449253630345,188.75796217918395
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 16}",8.382396819476561,131.6860833644867
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.6388219129061,76.8729190826416
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 64}",8.038374479116506,81.84164566993714
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 128}",7.9133020635592235,94.92105765342713
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 8}",15.745711802564466,214.6507095813751
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 16}",9.407818820818955,127.73854870796204
