params,dataset_size,avg_val_score,training_time
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,18.202386379241943
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,17.95615267753601
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.9331271648407
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,17.890642404556274
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,17.951102256774902
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.151605367660522
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.996102809906006
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,17.960909605026245
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,17.918631315231323
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,17.861101627349854
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.968101501464844
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.0001}",0.99,12.40281242291824,17.98610281944275
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.001}",0.99,12.40281242291824,18.00129795074463
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.443102836608887
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.460088014602661
