DViscosity40C,DViscosity100C,HeatCapacity_40C,HeatCapacity_100C,ThermalConductivity_40C,ThermalConductivity_100C,DVI,Toxicity,SCScore,TotalScore,NichedScore,Generation
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.775,0.857,70
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.779,0.861,71
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.783,0.866,72
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.774,0.856,73
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.78,0.862,74
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.78,0.862,75
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.775,0.857,76
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.767,0.848,77
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.774,0.856,78
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.765,0.846,79
3.621,1.797,6.695,6.844,0.167,0.153,188.515,0.244,0.786,0.739,0.801,7
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.774,0.855,80
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.782,0.864,81
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.779,0.861,82
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.775,0.857,83
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.774,0.856,84
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.776,0.858,85
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.771,0.853,86
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.772,0.854,87
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.771,0.853,88
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.782,0.865,89
3.523,1.762,6.688,6.84,0.163,0.149,188.59,0.239,0.798,0.74,0.8,8
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.767,0.848,90
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.779,0.861,91
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.755,0.835,92
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.775,0.856,93
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.77,0.852,94
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.768,0.849,95
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.778,0.861,96
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.775,0.857,97
3.728,1.896,6.735,6.891,0.147,0.137,190.93,0.265,0.903,0.783,0.866,98
3.779,1.916,6.733,6.891,0.145,0.135,190.878,0.28,0.911,0.77,0.853,99
3.636,1.819,6.693,6.846,0.16,0.146,189.101,0.217,0.807,0.744,0.808,9
