hidden_dim,num_layers,learning_rate,batch_size,dropout,activation,optimizer,avg_test_loss,training_time
128,5,0.01,8,0.0,relu,adam,30.097793185546855,127.03077216148377
128,5,0.01,8,0.0,relu,rmsprop,46.00530044004458,44.90631356239319
128,5,0.01,8,0.0,relu,adagrad,30.278253775014793,182.13849091529846
128,5,0.01,8,0.0,leaky_relu,adam,1116.9140310523708,202.92957582473755
128,5,0.01,8,0.0,leaky_relu,rmsprop,136.46008835188837,49.768097448348996
128,5,0.01,8,0.0,leaky_relu,adagrad,29.649340178632958,205.09035096168517
128,5,0.01,8,0.0,sigmoid,adam,45.50560488934637,54.17253222465515
128,5,0.01,8,0.0,sigmoid,rmsprop,45.12765301192572,61.69119658470154
128,5,0.01,8,0.0,sigmoid,adagrad,44.96868435461587,56.454892206192014
128,5,0.01,8,0.0,elu,adam,26.813355454829853,205.53640127182007
128,5,0.01,8,0.0,elu,rmsprop,45.628622074739646,49.69520907402038
128,5,0.01,8,0.0,elu,adagrad,28.20121214805393,169.0201192855835
128,5,0.01,16,0.0,relu,adam,33.73081110420577,74.9096785068512
128,5,0.01,16,0.0,relu,rmsprop,47.75925990638383,26.27083396911621
128,5,0.01,16,0.0,relu,adagrad,30.985488398140724,106.5270112991333
128,5,0.01,16,0.0,leaky_relu,adam,24.002143797305745,79.57390384674072
128,5,0.01,16,0.0,leaky_relu,rmsprop,1920.1467292138198,40.62929549217224
128,5,0.01,16,0.0,leaky_relu,adagrad,30.03969580624082,92.89516115188599
128,5,0.01,16,0.0,sigmoid,adam,45.05583505193028,37.704267501831055
128,5,0.01,16,0.0,sigmoid,rmsprop,45.55743050881482,23.46801652908325
128,5,0.01,16,0.0,sigmoid,adagrad,44.99155447023725,34.797482538223264
128,5,0.01,16,0.0,elu,adam,16.75019926171784,145.39244856834412
128,5,0.01,16,0.0,elu,rmsprop,39.95752848441448,60.71972465515137
128,5,0.01,16,0.0,elu,adagrad,28.71383324456871,88.60797123908996
128,5,0.01,32,0.0,relu,adam,29.820696140636095,70.28799810409546
128,5,0.01,32,0.0,relu,rmsprop,41.3290127286044,38.685106706619266
128,5,0.01,32,0.0,relu,adagrad,32.328105236400255,53.12054996490478
128,5,0.01,32,0.0,leaky_relu,adam,24.705891383777963,72.77083449363708
128,5,0.01,32,0.0,leaky_relu,rmsprop,5461.467646602285,30.50424952507019
128,5,0.01,32,0.0,leaky_relu,adagrad,32.439615204551004,65.9351737499237
128,5,0.01,32,0.0,sigmoid,adam,44.941013128107244,19.55489525794983
128,5,0.01,32,0.0,sigmoid,rmsprop,45.284237927523534,18.392903995513915
128,5,0.01,32,0.0,sigmoid,adagrad,44.96217902790416,20.43477883338928
128,5,0.01,32,0.0,elu,adam,18.169807416742497,86.99592413902283
128,5,0.01,32,0.0,elu,rmsprop,34.55650782151656,38.44791917800903
128,5,0.01,32,0.0,elu,adagrad,29.119649481339888,52.61958193778992
128,5,0.01,64,0.0,relu,adam,29.753627068655835,31.574699544906615
128,5,0.01,64,0.0,relu,rmsprop,89.80312069484165,24.245257997512816
128,5,0.01,64,0.0,relu,adagrad,34.09484806060791,33.07745885848999
128,5,0.01,64,0.0,leaky_relu,adam,26.29808499472482,37.81755208969116
128,5,0.01,64,0.0,leaky_relu,rmsprop,375.84392405918663,31.095278692245483
128,5,0.01,64,0.0,leaky_relu,adagrad,34.195437567574636,36.485293006896974
128,5,0.01,64,0.0,sigmoid,adam,44.87808406012398,9.899314689636231
128,5,0.01,64,0.0,sigmoid,rmsprop,45.21099898474557,9.597162866592408
128,5,0.01,64,0.0,sigmoid,adagrad,44.81784263338361,26.397854948043822
128,5,0.01,64,0.0,elu,adam,24.25945649147034,37.731354570388795
128,5,0.01,64,0.0,elu,rmsprop,1004.0765036037989,10.410639715194701
128,5,0.01,64,0.0,elu,adagrad,29.4370881829943,35.284722852706906
128,5,0.01,128,0.0,relu,adam,30.4507961000715,27.338711261749268
128,5,0.01,128,0.0,relu,rmsprop,405.76637093680245,5.3694798946380615
128,5,0.01,128,0.0,relu,adagrad,33.90464572906494,24.171647834777833
128,5,0.01,128,0.0,leaky_relu,adam,27.237209401811874,26.62246518135071
128,5,0.01,128,0.0,leaky_relu,rmsprop,34.2322792325701,31.054160118103027
128,5,0.01,128,0.0,leaky_relu,adagrad,36.05755574362619,18.073152160644533
128,5,0.01,128,0.0,sigmoid,adam,45.17925289699009,7.834255933761597
128,5,0.01,128,0.0,sigmoid,rmsprop,45.22815851484026,5.050799179077148
128,5,0.01,128,0.0,sigmoid,adagrad,45.335505567278176,22.189844369888306
128,5,0.01,128,0.0,elu,adam,29.62063549586704,21.805976104736327
128,5,0.01,128,0.0,elu,rmsprop,5412.557838221958,5.060748529434204
128,5,0.01,128,0.0,elu,adagrad,30.871202932085303,22.01006760597229
128,5,0.001,8,0.0,relu,adam,27.546149404716054,244.65896553993224
128,5,0.001,8,0.0,relu,rmsprop,28.331155149501946,250.74720573425293
128,5,0.001,8,0.0,relu,adagrad,32.33316998219271,144.77787566184998
128,5,0.001,8,0.0,leaky_relu,adam,18.288390573367067,307.0144526004791
128,5,0.001,8,0.0,leaky_relu,rmsprop,15.994005750133358,248.06263370513915
128,5,0.001,8,0.0,leaky_relu,adagrad,32.10380847607183,133.06717038154602
128,5,0.001,8,0.0,sigmoid,adam,44.890606679828885,114.00437068939209
128,5,0.001,8,0.0,sigmoid,rmsprop,44.97820203315227,58.12959794998169
128,5,0.001,8,0.0,sigmoid,adagrad,65.6507105053018,224.62737078666686
128,5,0.001,8,0.0,elu,adam,6.394211628869039,345.4321202754974
128,5,0.001,8,0.0,elu,rmsprop,6.378509589086432,275.2589124679565
128,5,0.001,8,0.0,elu,adagrad,27.30948937089618,153.82276167869568
128,5,0.001,16,0.0,relu,adam,27.251604851014026,131.51999859809877
128,5,0.001,16,0.0,relu,rmsprop,29.97405919591221,140.64122886657714
128,5,0.001,16,0.0,relu,adagrad,32.21372623968561,83.34782772064209
128,5,0.001,16,0.0,leaky_relu,adam,25.364078584723515,167.9030324935913
128,5,0.001,16,0.0,leaky_relu,rmsprop,17.400989643149416,144.8309060573578
128,5,0.001,16,0.0,leaky_relu,adagrad,32.20494810331852,80.73515024185181
128,5,0.001,16,0.0,sigmoid,adam,44.982470577135,31.17373390197754
128,5,0.001,16,0.0,sigmoid,rmsprop,44.9808442527001,35.77961044311523
128,5,0.001,16,0.0,sigmoid,adagrad,94.23435616099506,153.43295073509216
128,5,0.001,16,0.0,elu,adam,8.42714178124699,184.03934407234192
128,5,0.001,16,0.0,elu,rmsprop,7.737002452141648,171.2239005088806
128,5,0.001,16,0.0,elu,adagrad,27.453404131723108,86.67121162414551
128,5,0.001,32,0.0,relu,adam,27.87472517880526,81.4159616470337
128,5,0.001,32,0.0,relu,rmsprop,32.29960836583918,65.79521555900574
128,5,0.001,32,0.0,relu,adagrad,32.31782395796343,43.3929979801178
128,5,0.001,32,0.0,leaky_relu,adam,25.999343677867547,82.98172869682313
128,5,0.001,32,0.0,leaky_relu,rmsprop,22.487436991604888,74.56878108978272
128,5,0.001,32,0.0,leaky_relu,adagrad,32.79903992046009,47.53857316970825
128,5,0.001,32,0.0,sigmoid,adam,44.932865565906866,20.686789178848265
128,5,0.001,32,0.0,sigmoid,rmsprop,44.854447978626595,40.29975786209106
