hidden_dim,num_layers,learning_rate,batch_size,dropout,activation,optimizer,avg_test_loss,training_time
32,5,0.01,8,0.0,relu,adam,30.56003611984603,196.1611430644989
32,5,0.01,8,0.0,relu,rmsprop,32.46297724323536,127.16071166992188
32,5,0.01,8,0.0,relu,adagrad,32.53885430414742,156.26231441497802
32,5,0.01,8,0.0,leaky_relu,adam,22.66236986304642,307.8272442817688
32,5,0.01,8,0.0,leaky_relu,rmsprop,11.19409672251535,261.8075173854828
32,5,0.01,8,0.0,leaky_relu,adagrad,30.47188968964673,182.09524736404418
32,5,0.01,8,0.0,sigmoid,adam,45.043224101329066,55.358040523529056
32,5,0.01,8,0.0,sigmoid,rmsprop,45.21115434259997,51.06513991355896
32,5,0.01,8,0.0,sigmoid,adagrad,45.11234692521052,190.44599738121033
32,5,0.01,8,0.0,elu,adam,15.735646276791162,298.98019046783446
32,5,0.01,8,0.0,elu,rmsprop,16.793117219756503,198.51561403274536
32,5,0.01,8,0.0,elu,adagrad,26.174308842693996,181.41218309402467
32,5,0.01,16,0.0,relu,adam,27.974558422543588,123.20499901771545
32,5,0.01,16,0.0,relu,rmsprop,42.43288788226766,54.398200273513794
32,5,0.01,16,0.0,relu,adagrad,31.71798244266335,86.89145274162293
32,5,0.01,16,0.0,leaky_relu,adam,25.3106955720744,128.5968373775482
32,5,0.01,16,0.0,leaky_relu,rmsprop,15.429616180034952,143.17706508636473
32,5,0.01,16,0.0,leaky_relu,adagrad,30.748077364580343,95.8804226398468
32,5,0.01,16,0.0,sigmoid,adam,45.071225442798855,35.208111095428464
32,5,0.01,16,0.0,sigmoid,rmsprop,45.07965299623822,29.44311237335205
32,5,0.01,16,0.0,sigmoid,adagrad,46.369077306274974,112.7263970375061
32,5,0.01,16,0.0,elu,adam,13.486267116091668,142.91711769104003
32,5,0.01,16,0.0,elu,rmsprop,17.031449836328488,97.56011991500854
32,5,0.01,16,0.0,elu,adagrad,26.687781876380292,94.45995373725891
32,5,0.01,32,0.0,relu,adam,30.641686893809926,64.53228058815003
32,5,0.01,32,0.0,relu,rmsprop,58.93908238150857,45.997760963439944
32,5,0.01,32,0.0,relu,adagrad,32.60115382107821,52.11443405151367
32,5,0.01,32,0.0,leaky_relu,adam,27.409300127896394,75.57264719009399
32,5,0.01,32,0.0,leaky_relu,rmsprop,23.609633201252333,71.36386361122132
32,5,0.01,32,0.0,leaky_relu,adagrad,32.26157003229314,49.90240182876587
32,5,0.01,32,0.0,sigmoid,adam,45.02521188215776,19.044467401504516
32,5,0.01,32,0.0,sigmoid,rmsprop,45.024129409790035,21.507648706436157
32,5,0.01,32,0.0,sigmoid,adagrad,48.315263838334516,71.9525830745697
32,5,0.01,32,0.0,elu,adam,13.074664927395906,84.8594039440155
32,5,0.01,32,0.0,elu,rmsprop,10.612743973298507,87.40281677246094
32,5,0.01,32,0.0,elu,adagrad,27.609651118191806,53.72020545005798
32,5,0.01,64,0.0,relu,adam,31.830090284347534,26.87727861404419
32,5,0.01,64,0.0,relu,rmsprop,53.116132191249314,10.597025156021118
32,5,0.01,64,0.0,relu,adagrad,33.51411935261318,35.204611253738406
32,5,0.01,64,0.0,leaky_relu,adam,28.975469677788873,40.11540198326111
32,5,0.01,64,0.0,leaky_relu,rmsprop,25.32365174293518,43.588375616073606
32,5,0.01,64,0.0,leaky_relu,adagrad,33.589060892377574,28.923567628860475
32,5,0.01,64,0.0,sigmoid,adam,44.7900610106332,9.970658349990845
32,5,0.01,64,0.0,sigmoid,rmsprop,44.976489639282235,10.078217506408691
32,5,0.01,64,0.0,sigmoid,adagrad,70.12571683611188,47.61641187667847
32,5,0.01,64,0.0,elu,adam,22.313372135162354,49.40545744895935
32,5,0.01,64,0.0,elu,rmsprop,19.589141648156303,48.54781169891358
32,5,0.01,64,0.0,elu,adagrad,27.853429705756053,30.89549231529236
32,5,0.01,128,0.0,relu,adam,33.514272989545546,19.44817123413086
32,5,0.01,128,0.0,relu,rmsprop,40.212178530011855,15.052253866195679
32,5,0.01,128,0.0,relu,adagrad,35.245982960292274,16.940553379058837
32,5,0.01,128,0.0,leaky_relu,adam,30.07797688075474,22.53973779678345
32,5,0.01,128,0.0,leaky_relu,rmsprop,32.17355970655169,27.35498595237732
32,5,0.01,128,0.0,leaky_relu,adagrad,33.57238170078823,20.57443504333496
32,5,0.01,128,0.0,sigmoid,adam,45.19791684831891,9.861910200119018
32,5,0.01,128,0.0,sigmoid,rmsprop,45.165970420837404,7.873613262176514
32,5,0.01,128,0.0,sigmoid,adagrad,60.975709479195736,34.0893895149231
32,5,0.01,128,0.0,elu,adam,27.65654078892299,26.824800109863283
32,5,0.01,128,0.0,elu,rmsprop,30.586272294180738,23.14684910774231
32,5,0.01,128,0.0,elu,adagrad,29.000241306849887,21.1711368560791
32,5,0.001,8,0.0,relu,adam,28.228974939431623,251.8845541000366
32,5,0.001,8,0.0,relu,rmsprop,26.118822043395916,225.6478844165802
32,5,0.001,8,0.0,relu,adagrad,36.464001726721406,192.50983128547668
32,5,0.001,8,0.0,leaky_relu,adam,27.191739695717434,255.30800828933715
32,5,0.001,8,0.0,leaky_relu,rmsprop,21.699198581866167,259.1620738506317
32,5,0.001,8,0.0,leaky_relu,adagrad,35.45399985400909,146.52930870056153
32,5,0.001,8,0.0,sigmoid,adam,40.59495595956067,247.6954719543457
32,5,0.001,8,0.0,sigmoid,rmsprop,32.790722591833244,269.2502993583679
