hidden_dim,num_layers,learning_rate,batch_size,dropout,activation,optimizer,avg_test_loss,training_time
128,2,0.01,8,0.0,relu,adam,28.934748696734054,128.18341102600098
128,2,0.01,8,0.0,relu,rmsprop,44.92843141643279,42.60125737190246
128,2,0.01,8,0.0,relu,adagrad,29.273302870195938,129.36215562820433
128,2,0.01,8,0.0,leaky_relu,adam,26.669332152112908,111.23454580307006
128,2,0.01,8,0.0,leaky_relu,rmsprop,24.148764887588833,110.14886746406555
128,2,0.01,8,0.0,leaky_relu,adagrad,29.733972637013558,138.96364307403564
128,2,0.01,8,0.0,sigmoid,adam,45.38170043839774,50.35527148246765
128,2,0.01,8,0.0,sigmoid,rmsprop,45.1557577484518,36.09245147705078
128,2,0.01,8,0.0,sigmoid,adagrad,44.97693067865634,37.85090293884277
128,2,0.01,8,0.0,elu,adam,29.36867191502397,130.87171549797057
128,2,0.01,8,0.0,elu,rmsprop,36.39205931742257,109.48622641563415
128,2,0.01,8,0.0,elu,adagrad,29.32849745501619,121.02904462814331
128,2,0.01,16,0.0,relu,adam,29.99508485444095,37.36954426765442
128,2,0.01,16,0.0,relu,rmsprop,42.777857938818975,39.276416540145874
128,2,0.01,16,0.0,relu,adagrad,30.108867225297,69.51485900878906
128,2,0.01,16,0.0,leaky_relu,adam,26.483026545638335,105.98581008911133
128,2,0.01,16,0.0,leaky_relu,rmsprop,26.114594462158482,88.00583505630493
128,2,0.01,16,0.0,leaky_relu,adagrad,32.006935777576686,92.24380555152894
128,2,0.01,16,0.0,sigmoid,adam,45.02720617241816,23.159257411956787
128,2,0.01,16,0.0,sigmoid,rmsprop,45.00718237500672,19.660683107376098
128,2,0.01,16,0.0,sigmoid,adagrad,44.97715921139498,26.63251633644104
128,2,0.01,16,0.0,elu,adam,28.761772252004086,85.2089307308197
128,2,0.01,16,0.0,elu,rmsprop,31.276434168684375,66.81062865257263
128,2,0.01,16,0.0,elu,adagrad,29.20285936933045,74.13326144218445
128,2,0.01,32,0.0,relu,adam,29.929739043495868,35.89976978302002
128,2,0.01,32,0.0,relu,rmsprop,43.087074886668816,21.98845863342285
128,2,0.01,32,0.0,relu,adagrad,30.359700816761364,42.69816989898682
128,2,0.01,32,0.0,leaky_relu,adam,28.202017222317785,44.52138957977295
128,2,0.01,32,0.0,leaky_relu,rmsprop,26.9329396906766,44.01207008361816
