hidden_dim,num_layers,learning_rate,batch_size,dropout,activation,optimizer,avg_test_loss,training_time
64,3,0.01,8,0.0,relu,adam,34.95928607025279,91.53695983886719
64,3,0.01,8,0.0,relu,rmsprop,44.98093291493731,48.93979282379151
64,3,0.01,8,0.0,relu,adagrad,30.25390629899611,147.57542872428894
64,3,0.01,8,0.0,leaky_relu,adam,17.56955708129551,232.45769262313843
64,3,0.01,8,0.0,leaky_relu,rmsprop,15.008403333939544,211.41792521476745
64,3,0.01,8,0.0,leaky_relu,adagrad,30.136849608060412,133.28919239044188
64,3,0.01,8,0.0,sigmoid,adam,45.11018881404071,43.715128326416014
64,3,0.01,8,0.0,sigmoid,rmsprop,45.16303587468392,47.73839783668518
64,3,0.01,8,0.0,sigmoid,adagrad,44.740715654071316,106.99695339202881
64,3,0.01,8,0.0,elu,adam,22.868902853678126,237.51141090393065
64,3,0.01,8,0.0,elu,rmsprop,20.112974833676574,185.49266390800477
64,3,0.01,8,0.0,elu,adagrad,28.1967205753567,152.7780336856842
64,3,0.01,16,0.0,relu,adam,28.821583379518,85.16359415054322
64,3,0.01,16,0.0,relu,rmsprop,35.072787652321914,53.47293572425842
64,3,0.01,16,0.0,relu,adagrad,31.233441184857572,73.30818352699279
64,3,0.01,16,0.0,leaky_relu,adam,26.65891300603884,91.63217730522156
64,3,0.01,16,0.0,leaky_relu,rmsprop,23.6046601347967,91.62069163322448
64,3,0.01,16,0.0,leaky_relu,adagrad,31.328945768863786,71.60468111038207
64,3,0.01,16,0.0,sigmoid,adam,45.04779550044909,21.292592763900757
64,3,0.01,16,0.0,sigmoid,rmsprop,45.12126929606866,19.639437007904053
64,3,0.01,16,0.0,sigmoid,adagrad,44.98776988808168,71.59106307029724
64,3,0.01,16,0.0,elu,adam,25.379050834900745,99.88653993606567
64,3,0.01,16,0.0,elu,rmsprop,21.31639350226166,96.16239304542542
64,3,0.01,16,0.0,elu,adagrad,27.65129143338685,81.22864484786987
64,3,0.01,32,0.0,relu,adam,29.184989471435546,45.72325201034546
64,3,0.01,32,0.0,relu,rmsprop,62.51809673309326,27.357175493240355
64,3,0.01,32,0.0,relu,adagrad,31.498887866627086,48.874683904647824
64,3,0.01,32,0.0,leaky_relu,adam,27.851933219216086,47.859643650054934
64,3,0.01,32,0.0,leaky_relu,rmsprop,20.216508093747226,65.55100812911988
64,3,0.01,32,0.0,leaky_relu,adagrad,32.3150821651112,47.75130224227905
64,3,0.01,32,0.0,sigmoid,adam,44.94993802850897,14.836931419372558
64,3,0.01,32,0.0,sigmoid,rmsprop,45.32622089039195,15.988410329818725
64,3,0.01,32,0.0,sigmoid,adagrad,45.11036378340288,41.417885828018186
64,3,0.01,32,0.0,elu,adam,26.30502384185791,61.58695178031921
64,3,0.01,32,0.0,elu,rmsprop,20.46062715703791,71.67870206832886
64,3,0.01,32,0.0,elu,adagrad,28.808627627979625,46.9974262714386
64,3,0.01,64,0.0,relu,adam,29.495100927352905,27.98423614501953
64,3,0.01,64,0.0,relu,rmsprop,60.72403910500664,17.101635265350343
64,3,0.01,64,0.0,relu,adagrad,34.143339048113134,30.299207639694213
64,3,0.01,64,0.0,leaky_relu,adam,28.058001559121266,28.78938932418823
64,3,0.01,64,0.0,leaky_relu,rmsprop,23.68357751710074,39.25224108695984
64,3,0.01,64,0.0,leaky_relu,adagrad,34.0512853213719,29.872325134277343
64,3,0.01,64,0.0,sigmoid,adam,44.864396708352224,10.20679521560669
64,3,0.01,64,0.0,sigmoid,rmsprop,44.870630046299524,9.83321590423584
64,3,0.01,64,0.0,sigmoid,adagrad,45.666941629137305,38.3395893573761
64,3,0.01,64,0.0,elu,adam,27.780969858169556,36.732925224304196
64,3,0.01,64,0.0,elu,rmsprop,24.659571375165665,37.38304772377014
