hidden_dim,num_layers,learning_rate,batch_size,dropout,activation,optimizer,avg_test_loss,training_time
128,4,0.01,8,0.0,relu,adam,32.850074998719975,134.0023612499237
128,4,0.01,8,0.0,relu,rmsprop,44.985062977698966,44.62669038772583
128,4,0.01,8,0.0,relu,adagrad,30.55350180153453,168.4374354362488
128,4,0.01,8,0.0,leaky_relu,adam,339.4034230140371,92.52432775497437
128,4,0.01,8,0.0,leaky_relu,rmsprop,41.80641403132622,140.85068283081054
128,4,0.01,8,0.0,leaky_relu,adagrad,29.48637307494058,143.72287774085999
128,4,0.01,8,0.0,sigmoid,adam,44.99043074922824,54.20312972068787
128,4,0.01,8,0.0,sigmoid,rmsprop,45.23730743029796,48.58674840927124
128,4,0.01,8,0.0,sigmoid,adagrad,45.01470615470082,57.77754440307617
128,4,0.01,8,0.0,elu,adam,19.6898920351759,255.47179598808287
128,4,0.01,8,0.0,elu,rmsprop,25.658977248581174,122.1049530506134
128,4,0.01,8,0.0,elu,adagrad,28.675720624311253,161.6650140285492
128,4,0.01,16,0.0,relu,adam,38.62733273899883,69.41531066894531
128,4,0.01,16,0.0,relu,rmsprop,46.39170238074907,26.605315017700196
128,4,0.01,16,0.0,relu,adagrad,31.209381967947024,81.25856065750122
128,4,0.01,16,0.0,leaky_relu,adam,24.22486999319234,123.16822237968445
128,4,0.01,16,0.0,leaky_relu,rmsprop,67.20138810621489,41.957654333114625
128,4,0.01,16,0.0,leaky_relu,adagrad,30.240580345293797,93.01759352684022
128,4,0.01,16,0.0,sigmoid,adam,45.0057027484299,26.0640438079834
128,4,0.01,16,0.0,sigmoid,rmsprop,45.12937172530988,21.772794342041017
128,4,0.01,16,0.0,sigmoid,adagrad,45.006155573993645,28.959770679473877
128,4,0.01,16,0.0,elu,adam,23.539265138293622,155.9684537410736
128,4,0.01,16,0.0,elu,rmsprop,33.92671802940718,84.19602274894714
128,4,0.01,16,0.0,elu,adagrad,28.7370933278985,104.03954668045044
128,4,0.01,32,0.0,relu,adam,29.746062053333628,46.879162073135376
128,4,0.01,32,0.0,relu,rmsprop,116.86990952578458,25.035820150375365
128,4,0.01,32,0.0,relu,adagrad,31.54613107507879,57.32086596488953
128,4,0.01,32,0.0,leaky_relu,adam,27.62162019556219,55.69548854827881
128,4,0.01,32,0.0,leaky_relu,rmsprop,204.11206603310325,22.62121319770813
128,4,0.01,32,0.0,leaky_relu,adagrad,31.595884246826177,51.22832598686218
128,4,0.01,32,0.0,sigmoid,adam,45.357785925431685,19.055925178527833
128,4,0.01,32,0.0,sigmoid,rmsprop,45.6971452886408,12.241190147399902
128,4,0.01,32,0.0,sigmoid,adagrad,44.93273473566229,19.18638939857483
128,4,0.01,32,0.0,elu,adam,26.781246330954808,66.66757836341858
128,4,0.01,32,0.0,elu,rmsprop,44.907136164578525,41.86718010902405
128,4,0.01,32,0.0,elu,adagrad,29.518241486982866,49.76708469390869
128,4,0.01,64,0.0,relu,adam,33.27255566460745,14.216593980789185
128,4,0.01,64,0.0,relu,rmsprop,55.07539439882551,9.539641094207763
128,4,0.01,64,0.0,relu,adagrad,32.992158331189835,25.97772889137268
128,4,0.01,64,0.0,leaky_relu,adam,29.13023240225656,21.22556929588318
128,4,0.01,64,0.0,leaky_relu,rmsprop,1202.7039710998536,27.65852861404419
128,4,0.01,64,0.0,leaky_relu,adagrad,32.92191640308925,31.56797981262207
128,4,0.01,64,0.0,sigmoid,adam,45.079606642041895,11.784131526947021
128,4,0.01,64,0.0,sigmoid,rmsprop,44.88335285186768,9.114556932449341
128,4,0.01,64,0.0,sigmoid,adagrad,44.82919205256871,21.78015809059143
128,4,0.01,64,0.0,elu,adam,27.096318163190567,38.332573127746585
128,4,0.01,64,0.0,elu,rmsprop,362.9812522888183,18.976803922653197
128,4,0.01,64,0.0,elu,adagrad,29.798203863416397,30.972664165496827
128,4,0.01,128,0.0,relu,adam,30.161294501168385,23.03692760467529
128,4,0.01,128,0.0,relu,rmsprop,109.52835685185025,17.520330333709715
128,4,0.01,128,0.0,relu,adagrad,35.41586488996232,26.374783945083617
128,4,0.01,128,0.0,leaky_relu,adam,29.73414685385568,17.039216661453246
128,4,0.01,128,0.0,leaky_relu,rmsprop,58.44252471923828,20.822129917144775
128,4,0.01,128,0.0,leaky_relu,adagrad,37.24985624040876,24.20835256576538
128,4,0.01,128,0.0,sigmoid,adam,45.316689954485206,8.017284154891968
128,4,0.01,128,0.0,sigmoid,rmsprop,45.43977933611189,6.098419809341431
128,4,0.01,128,0.0,sigmoid,adagrad,45.1808385848999,17.502945756912233
128,4,0.01,128,0.0,elu,adam,30.76021981920515,21.366934728622436
128,4,0.01,128,0.0,elu,rmsprop,1677.0526218959262,4.386703062057495
128,4,0.01,128,0.0,elu,adagrad,31.39361411503383,19.305292797088622
128,4,0.001,8,0.0,relu,adam,27.956336166005617,212.4584445476532
128,4,0.001,8,0.0,relu,rmsprop,30.29127197331245,195.33004021644592
128,4,0.001,8,0.0,relu,adagrad,31.877410712646782,130.80354075431825
128,4,0.001,8,0.0,leaky_relu,adam,24.376363235548002,285.8884875297546
128,4,0.001,8,0.0,leaky_relu,rmsprop,15.908978070086297,250.91732964515685
128,4,0.001,8,0.0,leaky_relu,adagrad,31.924466172708282,134.59815230369568
128,4,0.001,8,0.0,sigmoid,adam,44.947172525935216,59.780255270004275
128,4,0.001,8,0.0,sigmoid,rmsprop,45.09858917030719,50.3823338508606
128,4,0.001,8,0.0,sigmoid,adagrad,61.85298827706127,247.86281371116638
128,4,0.001,8,0.0,elu,adam,9.076446123325496,306.979053068161
128,4,0.001,8,0.0,elu,rmsprop,8.370484404224868,271.64110713005067
128,4,0.001,8,0.0,elu,adagrad,27.666600996912074,150.856862449646
128,4,0.001,16,0.0,relu,adam,27.933179027662362,129.13493566513063
128,4,0.001,16,0.0,relu,rmsprop,29.150178946048847,110.5661030292511
128,4,0.001,16,0.0,relu,adagrad,32.24642502845975,87.84275650978088
128,4,0.001,16,0.0,leaky_relu,adam,25.88562887611739,153.91835317611694
128,4,0.001,16,0.0,leaky_relu,rmsprop,17.681723314687748,141.0003770828247
128,4,0.001,16,0.0,leaky_relu,adagrad,31.4785798589024,79.63313326835632
128,4,0.001,16,0.0,sigmoid,adam,45.06373076657636,33.73793802261353
128,4,0.001,16,0.0,sigmoid,rmsprop,45.050670653526936,23.07979235649109
128,4,0.001,16,0.0,sigmoid,adagrad,81.32192336266193,119.98504753112793
128,4,0.001,16,0.0,elu,adam,11.09276948412624,156.89422364234923
128,4,0.001,16,0.0,elu,rmsprop,8.06630673058536,146.9813467979431
128,4,0.001,16,0.0,elu,adagrad,28.098187642578687,78.9838637828827
128,4,0.001,32,0.0,relu,adam,27.863848828402432,65.47119693756103
128,4,0.001,32,0.0,relu,rmsprop,34.911485009626915,56.70677304267883
128,4,0.001,32,0.0,relu,adagrad,33.36670343572443,37.07101511955261
128,4,0.001,32,0.0,leaky_relu,adam,27.194049914966932,62.653307628631595
128,4,0.001,32,0.0,leaky_relu,rmsprop,27.580544957247646,62.71732997894287
128,4,0.001,32,0.0,leaky_relu,adagrad,32.433820301402704,48.12194619178772
128,4,0.001,32,0.0,sigmoid,adam,44.95254135825417,18.275839614868165
128,4,0.001,32,0.0,sigmoid,rmsprop,44.693491051413794,42.687907695770264
128,4,0.001,32,0.0,sigmoid,adagrad,104.23966031161221,84.72741646766663
128,4,0.001,32,0.0,elu,adam,22.54762504751032,91.53666143417358
128,4,0.001,32,0.0,elu,rmsprop,15.02861504468051,84.36594452857972
128,4,0.001,32,0.0,elu,adagrad,28.464045871387828,42.788197708129886
128,4,0.001,64,0.0,relu,adam,29.197496441432406,42.07591247558594
128,4,0.001,64,0.0,relu,rmsprop,32.988061741420196,41.601419067382814
128,4,0.001,64,0.0,relu,adagrad,32.35703866141183,33.38917012214661
128,4,0.001,64,0.0,leaky_relu,adam,29.298576300484797,35.85840196609497
128,4,0.001,64,0.0,leaky_relu,rmsprop,28.98053835460118,35.34680824279785
128,4,0.001,64,0.0,leaky_relu,adagrad,32.823140961783274,32.32070803642273
128,4,0.001,64,0.0,sigmoid,adam,44.82612810134888,12.0505841255188
128,4,0.001,64,0.0,sigmoid,rmsprop,44.41372345515661,29.741141080856323
128,4,0.001,64,0.0,sigmoid,adagrad,129.36339133126393,51.04849739074707
