hidden_dim,num_layers,learning_rate,batch_size,dropout,activation,optimizer,avg_test_loss,training_time
256,4,0.01,8,0.0,relu,adam,44.980237513179084,55.97454624176025
256,4,0.01,8,0.0,relu,rmsprop,45.008948965028885,51.28016662597656
256,4,0.01,8,0.0,relu,adagrad,29.93564097711799,160.96414909362792
256,4,0.01,8,0.0,leaky_relu,adam,916.3374352588565,113.7700056552887
256,4,0.01,8,0.0,leaky_relu,rmsprop,2168.360609399944,93.9238604068756
256,4,0.01,8,0.0,leaky_relu,adagrad,31.290445581051188,182.68074970245362
256,4,0.01,8,0.0,sigmoid,adam,45.21089247347565,69.13150367736816
256,4,0.01,8,0.0,sigmoid,rmsprop,45.28244760944209,57.30566234588623
256,4,0.01,8,0.0,sigmoid,adagrad,44.967298170514056,39.43742995262146
256,4,0.01,8,0.0,elu,adam,25.09564588758924,250.747642326355
256,4,0.01,8,0.0,elu,rmsprop,42.029528132272425,66.33309917449951
256,4,0.01,8,0.0,elu,adagrad,30.90474432931034,116.9732612133026
256,4,0.01,16,0.0,relu,adam,32.28137417014585,62.93440341949463
256,4,0.01,16,0.0,relu,rmsprop,66.89553305424681,26.892607545852663
256,4,0.01,16,0.0,relu,adagrad,30.877587783883474,83.07235975265503
256,4,0.01,16,0.0,leaky_relu,adam,29.726138231294964,71.82942123413086
256,4,0.01,16,0.0,leaky_relu,rmsprop,140848.47419754165,29.7307409286499
256,4,0.01,16,0.0,leaky_relu,adagrad,32.02789148978137,88.75955839157105
256,4,0.01,16,0.0,sigmoid,adam,45.26721121061833,32.68870215415954
256,4,0.01,16,0.0,sigmoid,rmsprop,45.54974879518561,24.903888416290282
256,4,0.01,16,0.0,sigmoid,adagrad,45.007168062892525,22.077284955978392
256,4,0.01,16,0.0,elu,adam,29.760562680620666,98.32247714996338
256,4,0.01,16,0.0,elu,rmsprop,40.73247738234493,43.13722348213196
256,4,0.01,16,0.0,elu,adagrad,30.74276692451687,79.96260509490966
256,4,0.01,32,0.0,relu,adam,29.481909328807482,50.51972827911377
256,4,0.01,32,0.0,relu,rmsprop,1205.099920387268,24.89064164161682
256,4,0.01,32,0.0,relu,adagrad,31.28826551263983,41.74869337081909
256,4,0.01,32,0.0,leaky_relu,adam,26.643414171392266,50.0389940738678
256,4,0.01,32,0.0,leaky_relu,rmsprop,124.64135960665617,24.176969528198242
256,4,0.01,32,0.0,leaky_relu,adagrad,33.83430657126687,60.369204139709474
256,4,0.01,32,0.0,sigmoid,adam,45.30346724423495,18.64989056587219
256,4,0.01,32,0.0,sigmoid,rmsprop,46.33268080624667,13.020656204223632
