hidden_dim,num_layers,learning_rate,batch_size,dropout,activation,optimizer,avg_test_loss,training_time
128,1,0.01,8,0.0,relu,adam,29.128382367387825,89.36053590774536
128,1,0.01,8,0.0,relu,rmsprop,29.202897439199848,94.88099865913391
128,1,0.01,8,0.0,relu,adagrad,40.07631956852904,105.11609282493592
128,1,0.01,8,0.0,leaky_relu,adam,28.519030187873664,130.74565958976746
128,1,0.01,8,0.0,leaky_relu,rmsprop,33.8911089577396,123.61443934440612
128,1,0.01,8,0.0,leaky_relu,adagrad,40.8282228351733,119.43005027770997
128,1,0.01,8,0.0,sigmoid,adam,45.12165258215108,32.75758466720581
128,1,0.01,8,0.0,sigmoid,rmsprop,45.09843586497351,34.087247657775876
128,1,0.01,8,0.0,sigmoid,adagrad,44.97343068144737,26.99904623031616
128,1,0.01,8,0.0,elu,adam,45.211682025992545,78.28475260734558
128,1,0.01,8,0.0,elu,rmsprop,45.1129297164602,28.225877285003662
128,1,0.01,8,0.0,elu,adagrad,29.96196012961755,93.85901103019714
128,1,0.01,16,0.0,relu,adam,31.41683055632705,29.95250196456909
128,1,0.01,16,0.0,relu,rmsprop,32.13443537545861,44.663103103637695
128,1,0.01,16,0.0,relu,adagrad,40.68862837345228,59.177476692199704
128,1,0.01,16,0.0,leaky_relu,adam,29.396710377439444,49.01660842895508
128,1,0.01,16,0.0,leaky_relu,rmsprop,33.32389209992295,80.1469943523407
128,1,0.01,16,0.0,leaky_relu,adagrad,40.09683021405421,55.73377227783203
128,1,0.01,16,0.0,sigmoid,adam,45.043279569083396,22.877339553833007
128,1,0.01,16,0.0,sigmoid,rmsprop,45.382525452780065,19.173984813690186
128,1,0.01,16,0.0,sigmoid,adagrad,44.982214248727225,18.826702642440797
128,1,0.01,16,0.0,elu,adam,30.716213102078218,46.49566197395325
128,1,0.01,16,0.0,elu,rmsprop,44.9815387550844,13.838467884063721
128,1,0.01,16,0.0,elu,adagrad,30.655599416505304,53.25989952087402
128,1,0.01,32,0.0,relu,adam,28.676278017217463,31.076599597930908
128,1,0.01,32,0.0,relu,rmsprop,39.10234528975053,30.427711963653564
128,1,0.01,32,0.0,relu,adagrad,41.726860115744856,23.669721555709838
128,1,0.01,32,0.0,leaky_relu,adam,28.87400955200195,27.716597604751588
128,1,0.01,32,0.0,leaky_relu,rmsprop,52.36792782176625,7.827173233032227
128,1,0.01,32,0.0,leaky_relu,adagrad,41.26939166329124,34.345172595977786
128,1,0.01,32,0.0,sigmoid,adam,44.951654871160336,11.936592769622802
128,1,0.01,32,0.0,sigmoid,rmsprop,44.91353315179998,13.056159114837646
128,1,0.01,32,0.0,sigmoid,adagrad,44.935514866222036,12.509584712982178
128,1,0.01,32,0.0,elu,adam,30.20677609877153,32.095012998580934
128,1,0.01,32,0.0,elu,rmsprop,46.29123173106801,9.886473751068115
128,1,0.01,32,0.0,elu,adagrad,32.01772936734286,36.795798015594485
128,1,0.01,64,0.0,relu,adam,28.811520603724887,23.899496269226074
128,1,0.01,64,0.0,relu,rmsprop,42.36275524411882,21.315862464904786
128,1,0.01,64,0.0,relu,adagrad,42.19039009639196,21.356698083877564
128,1,0.01,64,0.0,leaky_relu,adam,28.66777223859514,24.396203231811523
128,1,0.01,64,0.0,leaky_relu,rmsprop,48.65434078489031,6.500649929046631
128,1,0.01,64,0.0,leaky_relu,adagrad,42.24538365772793,20.650395917892457
128,1,0.01,64,0.0,sigmoid,adam,44.95774368558612,7.278861045837402
128,1,0.01,64,0.0,sigmoid,rmsprop,45.306485884530204,6.728394842147827
128,1,0.01,64,0.0,sigmoid,adagrad,44.82732211521694,12.645713901519775
128,1,0.01,64,0.0,elu,adam,29.475104522705077,24.878101873397828
128,1,0.01,64,0.0,elu,rmsprop,44.913126673017224,7.639145851135254
128,1,0.01,64,0.0,elu,adagrad,34.16264311926706,30.810046243667603
128,1,0.01,128,0.0,relu,adam,28.99504686083112,16.305165338516236
128,1,0.01,128,0.0,relu,rmsprop,45.24351918356759,15.8979567527771
128,1,0.01,128,0.0,relu,adagrad,43.370256423950195,12.29561882019043
128,1,0.01,128,0.0,leaky_relu,adam,28.882731546674457,16.976445198059082
128,1,0.01,128,0.0,leaky_relu,rmsprop,49.9460657937186,4.529917001724243
128,1,0.01,128,0.0,leaky_relu,adagrad,43.36381716047015,16.489312982559206
128,1,0.01,128,0.0,sigmoid,adam,45.18329020908901,5.750586700439453
128,1,0.01,128,0.0,sigmoid,rmsprop,45.54437871660505,4.852792882919312
128,1,0.01,128,0.0,sigmoid,adagrad,45.35786476135254,16.580484771728514
128,1,0.01,128,0.0,elu,adam,33.638245010375975,12.398128128051757
128,1,0.01,128,0.0,elu,rmsprop,41.487632860456195,10.196448516845702
128,1,0.01,128,0.0,elu,adagrad,37.27898960113525,21.352103757858277
128,1,0.001,8,0.0,relu,adam,31.079353401529676,79.89635982513428
128,1,0.001,8,0.0,relu,rmsprop,28.694584742489212,115.27705540657044
128,1,0.001,8,0.0,relu,adagrad,44.04642526917502,57.65407838821411
128,1,0.001,8,0.0,leaky_relu,adam,28.974341681572277,92.44512615203857
128,1,0.001,8,0.0,leaky_relu,rmsprop,28.413085978512374,113.02711696624756
128,1,0.001,8,0.0,leaky_relu,adagrad,44.15060221831733,49.68856673240661
128,1,0.001,8,0.0,sigmoid,adam,45.00218220484366,28.146188163757323
128,1,0.001,8,0.0,sigmoid,rmsprop,44.94583049411074,42.24893751144409
128,1,0.001,8,0.0,sigmoid,adagrad,58.06587957810918,150.22069797515869
128,1,0.001,8,0.0,elu,adam,29.66965076934307,107.13279204368591
128,1,0.001,8,0.0,elu,rmsprop,29.737138536709164,105.97054123878479
128,1,0.001,8,0.0,elu,adagrad,41.289316467735745,96.52927117347717
128,1,0.001,16,0.0,relu,adam,28.63936507723747,68.02462882995606
128,1,0.001,16,0.0,relu,rmsprop,29.165043166799286,72.61603293418884
128,1,0.001,16,0.0,relu,adagrad,44.156797969013176,32.13228616714478
128,1,0.001,16,0.0,leaky_relu,adam,29.329044231799763,51.26012840270996
128,1,0.001,16,0.0,leaky_relu,rmsprop,28.22897040603358,77.31638417243957
128,1,0.001,16,0.0,leaky_relu,adagrad,44.05300695261824,48.040286493301394
128,1,0.001,16,0.0,sigmoid,adam,44.97600629614034,16.83808069229126
128,1,0.001,16,0.0,sigmoid,rmsprop,45.042102964208766,22.738864612579345
128,1,0.001,16,0.0,sigmoid,adagrad,78.65191207675758,99.13074173927308
128,1,0.001,16,0.0,elu,adam,29.535822136030284,56.755972671508786
128,1,0.001,16,0.0,elu,rmsprop,29.830883575579442,66.17788910865784
128,1,0.001,16,0.0,elu,adagrad,41.02074795294246,65.42856674194336
128,1,0.001,32,0.0,relu,adam,29.675654307278723,45.69366693496704
128,1,0.001,32,0.0,relu,rmsprop,31.204061879244716,45.18184080123901
128,1,0.001,32,0.0,relu,adagrad,44.27763285550204,16.905524587631227
128,1,0.001,32,0.0,leaky_relu,adam,30.23941586581144,53.20700531005859
128,1,0.001,32,0.0,leaky_relu,rmsprop,28.7036769138683,51.390235137939456
128,1,0.001,32,0.0,leaky_relu,adagrad,44.01896518707275,20.93872880935669
128,1,0.001,32,0.0,sigmoid,adam,44.92221871809526,13.213484382629394
128,1,0.001,32,0.0,sigmoid,rmsprop,44.944874735745515,17.09533143043518
128,1,0.001,32,0.0,sigmoid,adagrad,107.97153828014027,59.37477917671204
128,1,0.001,32,0.0,elu,adam,29.60460406910289,38.02967677116394
128,1,0.001,32,0.0,elu,rmsprop,30.496233156377617,35.60167961120605
128,1,0.001,32,0.0,elu,adagrad,41.84057784340598,40.163036823272705
128,1,0.001,64,0.0,relu,adam,32.65218804904393,36.46639060974121
128,1,0.001,64,0.0,relu,rmsprop,33.829230029242375,31.008581352233886
128,1,0.001,64,0.0,relu,adagrad,44.267006043025425,12.513590860366822
128,1,0.001,64,0.0,leaky_relu,adam,32.61592638833182,25.806430530548095
128,1,0.001,64,0.0,leaky_relu,rmsprop,34.15690145492554,37.42849845886231
128,1,0.001,64,0.0,leaky_relu,adagrad,43.95501722608294,17.28197603225708
128,1,0.001,64,0.0,sigmoid,adam,44.83669043949672,8.402039384841919
128,1,0.001,64,0.0,sigmoid,rmsprop,44.808015074048726,5.842674016952515
128,1,0.001,64,0.0,sigmoid,adagrad,122.46009368896482,37.55396766662598
128,1,0.001,64,0.0,elu,adam,29.65510379246303,24.012172746658326
128,1,0.001,64,0.0,elu,rmsprop,30.911376067570274,23.485541152954102
128,1,0.001,64,0.0,elu,adagrad,42.70829485484531,23.61854758262634
128,1,0.001,128,0.0,relu,adam,40.82836617061069,21.81061120033264
128,1,0.001,128,0.0,relu,rmsprop,40.57655732291086,24.146903657913207
128,1,0.001,128,0.0,relu,adagrad,44.544454956054686,10.810227489471435
128,1,0.001,128,0.0,leaky_relu,adam,35.03218609946115,22.32094693183899
128,1,0.001,128,0.0,leaky_relu,rmsprop,40.03173542022706,20.79605984687805
128,1,0.001,128,0.0,leaky_relu,adagrad,44.579812567574635,9.170294857025146
128,1,0.001,128,0.0,sigmoid,adam,45.19857319423131,12.85190978050232
128,1,0.001,128,0.0,sigmoid,rmsprop,45.19449637276786,5.8353430271148685
128,1,0.001,128,0.0,sigmoid,adagrad,140.9952578953334,26.846166133880615
128,1,0.001,128,0.0,elu,adam,31.031351852416993,22.721780204772948
128,1,0.001,128,0.0,elu,rmsprop,32.03639430999756,19.192263460159303
128,1,0.001,128,0.0,elu,adagrad,43.81131000518799,25.912381649017334
128,1,0.0001,8,0.0,relu,adam,39.574100487713416,199.77214918136596
128,1,0.0001,8,0.0,relu,rmsprop,39.94430948495865,163.97873177528382
128,1,0.0001,8,0.0,relu,adagrad,44.42665728292334,59.22749276161194
128,1,0.0001,8,0.0,leaky_relu,adam,37.7701772138613,172.76209077835082
128,1,0.0001,8,0.0,leaky_relu,rmsprop,33.7511505387245,187.48514785766602
128,1,0.0001,8,0.0,leaky_relu,adagrad,44.35043669993725,79.82447175979614
128,1,0.0001,8,0.0,sigmoid,adam,44.91792756089377,88.67572298049927
128,1,0.0001,8,0.0,sigmoid,rmsprop,44.91844146218868,47.032552814483644
128,1,0.0001,8,0.0,sigmoid,adagrad,170.39084732248148,183.78806462287903
128,1,0.0001,8,0.0,elu,adam,29.429419068021513,132.05670490264893
128,1,0.0001,8,0.0,elu,rmsprop,29.567590565418982,126.15166730880738
128,1,0.0001,8,0.0,elu,adagrad,44.74092543846971,87.71730766296386
128,1,0.0001,16,0.0,relu,adam,43.1576788911032,68.40940198898315
128,1,0.0001,16,0.0,relu,rmsprop,41.65581407984462,65.45352554321289
128,1,0.0001,16,0.0,relu,adagrad,44.509425145770436,45.798374032974245
128,1,0.0001,16,0.0,leaky_relu,adam,40.881609802946045,95.1913893699646
128,1,0.0001,16,0.0,leaky_relu,rmsprop,40.88907555396404,76.77736659049988
128,1,0.0001,16,0.0,leaky_relu,adagrad,44.464705876691625,24.006204080581664
128,1,0.0001,16,0.0,sigmoid,adam,44.986042712150365,45.48622751235962
128,1,0.0001,16,0.0,sigmoid,rmsprop,44.982805294071866,26.90395941734314
128,1,0.0001,16,0.0,sigmoid,adagrad,177.66046601741687,101.00593981742858
128,1,0.0001,16,0.0,elu,adam,30.488559781520735,83.08823919296265
128,1,0.0001,16,0.0,elu,rmsprop,30.258303546030582,78.96341714859008
128,1,0.0001,16,0.0,elu,adagrad,44.710866291151135,55.39144988059998
128,1,0.0001,32,0.0,relu,adam,43.165359115600594,34.60150556564331
128,1,0.0001,32,0.0,relu,rmsprop,41.99461919611151,35.62499914169312
128,1,0.0001,32,0.0,relu,adagrad,46.78925250660289,41.384642362594604
128,1,0.0001,32,0.0,leaky_relu,adam,42.93353807622736,41.42440400123596
128,1,0.0001,32,0.0,leaky_relu,rmsprop,42.11379122300581,38.24621367454529
128,1,0.0001,32,0.0,leaky_relu,adagrad,44.43531203530052,20.842434549331664
128,1,0.0001,32,0.0,sigmoid,adam,45.31662006378174,34.3971727848053
128,1,0.0001,32,0.0,sigmoid,rmsprop,44.928874064358794,26.840654945373537
128,1,0.0001,32,0.0,sigmoid,adagrad,180.8318824074485,59.21464352607727
128,1,0.0001,32,0.0,elu,adam,35.73598759737881,57.14239101409912
128,1,0.0001,32,0.0,elu,rmsprop,33.01640668695624,57.00659008026123
128,1,0.0001,32,0.0,elu,adagrad,44.907823038968175,36.06046714782715
128,1,0.0001,64,0.0,relu,adam,43.892396286555694,27.07988486289978
128,1,0.0001,64,0.0,relu,rmsprop,43.297700909205844,21.141175270080566
128,1,0.0001,64,0.0,relu,adagrad,44.17204938616071,26.993928956985474
128,1,0.0001,64,0.0,leaky_relu,adam,43.522627108437675,21.508226108551025
128,1,0.0001,64,0.0,leaky_relu,rmsprop,42.765905489240374,21.352960729598998
128,1,0.0001,64,0.0,leaky_relu,adagrad,44.42425233295985,30.76273708343506
128,1,0.0001,64,0.0,sigmoid,adam,44.97500059945243,39.56737084388733
128,1,0.0001,64,0.0,sigmoid,rmsprop,44.80962215151105,27.661280584335326
128,1,0.0001,64,0.0,sigmoid,adagrad,186.67714876447403,37.84944100379944
128,1,0.0001,64,0.0,elu,adam,39.253328623090475,37.55879287719726
128,1,0.0001,64,0.0,elu,rmsprop,35.209481654848375,31.620444536209106
128,1,0.0001,64,0.0,elu,adagrad,44.97830418178013,27.763821268081664
128,1,0.0001,128,0.0,relu,adam,44.507402883257186,9.067510509490967
