hidden_dim,num_layers,learning_rate,batch_size,dropout,activation,optimizer,avg_test_loss,training_time
32,1,0.01,8,0.0,relu,adam,29.290403804593133,85.31070308685302
32,1,0.01,8,0.0,relu,rmsprop,28.996261767892662,80.1859049320221
32,1,0.01,8,0.0,relu,adagrad,43.795071968354215,90.53519849777221
32,1,0.01,8,0.0,leaky_relu,adam,29.134633711828002,92.15809311866761
32,1,0.01,8,0.0,leaky_relu,rmsprop,28.74652683286492,112.60197858810425
32,1,0.01,8,0.0,leaky_relu,adagrad,43.45109834031227,84.08515625
32,1,0.01,8,0.0,sigmoid,adam,45.153278966453094,36.650432443618776
32,1,0.01,8,0.0,sigmoid,rmsprop,45.07429701625754,28.564483737945558
32,1,0.01,8,0.0,sigmoid,adagrad,44.93418822485372,127.2349618434906
32,1,0.01,8,0.0,elu,adam,29.540009864371854,119.27193064689637
32,1,0.01,8,0.0,elu,rmsprop,31.597746910961394,83.91352314949036
32,1,0.01,8,0.0,elu,adagrad,34.542657227034965,144.71438789367676
32,1,0.01,16,0.0,relu,adam,28.730977802976554,58.94662466049194
32,1,0.01,16,0.0,relu,rmsprop,28.834205532073973,57.53100895881653
32,1,0.01,16,0.0,relu,adagrad,43.738918895896425,34.519814825057985
32,1,0.01,16,0.0,leaky_relu,adam,28.870181030308437,54.80588464736938
32,1,0.01,16,0.0,leaky_relu,rmsprop,42.11849499623711,33.87921195030212
32,1,0.01,16,0.0,leaky_relu,adagrad,43.48689215423864,43.024733018875125
32,1,0.01,16,0.0,sigmoid,adam,44.99156771843587,17.377960014343262
32,1,0.01,16,0.0,sigmoid,rmsprop,45.353274627125586,16.47831263542175
32,1,0.01,16,0.0,sigmoid,adagrad,50.53222671648778,72.7521939754486
32,1,0.01,16,0.0,elu,adam,29.983625252749942,54.55231442451477
32,1,0.01,16,0.0,elu,rmsprop,30.05136232813564,67.9196343421936
32,1,0.01,16,0.0,elu,adagrad,36.84247197142435,79.56603269577026
32,1,0.01,32,0.0,relu,adam,28.969288510409267,31.920941495895384
32,1,0.01,32,0.0,relu,rmsprop,29.79588069568981,39.137720584869385
32,1,0.01,32,0.0,relu,adagrad,43.743498888882726,23.126433324813842
32,1,0.01,32,0.0,leaky_relu,adam,29.84009932778098,27.796569490432738
32,1,0.01,32,0.0,leaky_relu,rmsprop,29.451601389104667,35.75007653236389
32,1,0.01,32,0.0,leaky_relu,adagrad,43.71490461869673,25.259566211700438
32,1,0.01,32,0.0,sigmoid,adam,44.922563160982996,11.868021535873414
32,1,0.01,32,0.0,sigmoid,rmsprop,44.953423552079634,12.551619243621825
32,1,0.01,32,0.0,sigmoid,adagrad,50.28474263277921,46.32343497276306
32,1,0.01,32,0.0,elu,adam,29.55325120405717,34.25414147377014
32,1,0.01,32,0.0,elu,rmsprop,31.037462962757456,31.415118932724
32,1,0.01,32,0.0,elu,adagrad,37.820479167591444,51.40683250427246
32,1,0.01,64,0.0,relu,adam,28.90348007338388,23.10205717086792
32,1,0.01,64,0.0,relu,rmsprop,32.8312313079834,27.871533489227296
32,1,0.01,64,0.0,relu,adagrad,43.831337438310904,16.45241422653198
32,1,0.01,64,0.0,leaky_relu,adam,32.43146982192993,17.38531141281128
32,1,0.01,64,0.0,leaky_relu,rmsprop,31.34538038798741,32.589310026168825
32,1,0.01,64,0.0,leaky_relu,adagrad,43.900615269797186,13.753926706314086
32,1,0.01,64,0.0,sigmoid,adam,44.86899464470999,8.87797646522522
32,1,0.01,64,0.0,sigmoid,rmsprop,44.85767750058856,7.1652899265289305
32,1,0.01,64,0.0,sigmoid,adagrad,56.87987328938076,32.24227867126465
32,1,0.01,64,0.0,elu,adam,30.004784182139804,19.983605241775514
32,1,0.01,64,0.0,elu,rmsprop,30.170795481545582,24.795128917694093
32,1,0.01,64,0.0,elu,adagrad,38.769758619580955,25.11450457572937
32,1,0.01,128,0.0,relu,adam,29.77403823307582,20.380945348739623
32,1,0.01,128,0.0,relu,rmsprop,38.87857246398926,23.73999419212341
32,1,0.01,128,0.0,relu,adagrad,44.30968393598285,8.886038780212402
32,1,0.01,128,0.0,leaky_relu,adam,29.155574798583984,18.02456636428833
32,1,0.01,128,0.0,leaky_relu,rmsprop,36.04605369567871,27.708272314071657
32,1,0.01,128,0.0,leaky_relu,adagrad,44.04654481070382,10.904733324050904
32,1,0.01,128,0.0,sigmoid,adam,45.2037875856672,5.512090253829956
32,1,0.01,128,0.0,sigmoid,rmsprop,45.181746155875075,5.811829090118408
32,1,0.01,128,0.0,sigmoid,adagrad,84.52076552254813,25.860313987731935
32,1,0.01,128,0.0,elu,adam,29.733403968811036,18.540423774719237
32,1,0.01,128,0.0,elu,rmsprop,31.06760136740548,22.08837761878967
32,1,0.01,128,0.0,elu,adagrad,42.94791477748326,15.189688396453857
32,1,0.001,8,0.0,relu,adam,31.759715154302235,117.37039790153503
32,1,0.001,8,0.0,relu,rmsprop,31.141144351838925,137.7962902069092
32,1,0.001,8,0.0,relu,adagrad,44.31646846352367,40.961954307556155
32,1,0.001,8,0.0,leaky_relu,adam,29.30797778329718,108.27965455055237
32,1,0.001,8,0.0,leaky_relu,rmsprop,29.57306305574715,144.33143215179444
32,1,0.001,8,0.0,leaky_relu,adagrad,44.403245687266015,59.36813497543335
