Training Data Size,Average Test MSE,Std Test MSE,Average Training Time (s)
0.01,18.330480618617056,0.5039221052761309,9.123764562606812
0.05,14.31281102665831,0.27355649432415063,17.751279640197755
0.1,12.495606708823441,0.228364376929045,28.190575981140135
0.2,11.355929558728747,0.09655905796518205,49.059454107284544
0.4,10.090349161582997,0.16111787678109402,89.99202790260316
0.6,9.409712073892184,0.0913762330553904,130.42325415611268
0.8,9.011126104320386,0.09651297432367975,177.70032691955566
0.999,8.78379352550706,0.05824983193911272,215.84638833999634
