n_components,covariance_type,max_iter,init_params,reg_covar,avg_train_time,avg_mse
1,full,100,kmeans,1e-06,0.3127267837524414,248.77973896361408
1,full,100,kmeans,1e-05,0.18748631477355956,248.77973896361408
1,full,100,kmeans,0.0001,0.18610081672668458,248.77973896361408
1,full,100,random,1e-06,0.167855167388916,248.77973896361408
1,full,100,random,1e-05,0.16482415199279785,248.77973896361408
1,full,100,random,0.0001,0.16082687377929689,248.77973896361408
1,full,200,kmeans,1e-06,0.1796945095062256,248.77973896361408
1,full,200,kmeans,1e-05,0.18298654556274413,248.77973896361408
1,full,200,kmeans,0.0001,0.1796595573425293,248.77973896361408
1,full,200,random,1e-06,0.16168713569641113,248.77973896361408
1,full,200,random,1e-05,0.16366896629333497,248.77973896361408
1,full,200,random,0.0001,0.1632366180419922,248.77973896361408
1,full,300,kmeans,1e-06,0.18117494583129884,248.77973896361408
1,full,300,kmeans,1e-05,0.1906871795654297,248.77973896361408
1,full,300,kmeans,0.0001,0.18685588836669922,248.77973896361408
1,full,300,random,1e-06,0.16740474700927735,248.77973896361408
1,full,300,random,1e-05,0.16494946479797362,248.77973896361408
1,full,300,random,0.0001,0.16501832008361816,248.77973896361408
1,full,500,kmeans,1e-06,0.1799520492553711,248.77973896361408
1,full,500,kmeans,1e-05,0.1775496006011963,248.77973896361408
1,full,500,kmeans,0.0001,0.17522287368774414,248.77973896361408
1,full,500,random,1e-06,0.1597893238067627,248.77973896361408
1,full,500,random,1e-05,0.15878219604492189,248.77973896361408
1,full,500,random,0.0001,0.16062312126159667,248.77973896361408
1,full,1000,kmeans,1e-06,0.17793741226196289,248.77973896361408
1,full,1000,kmeans,1e-05,0.17941617965698242,248.77973896361408
1,full,1000,kmeans,0.0001,0.18214383125305175,248.77973896361408
1,full,1000,random,1e-06,0.1646491050720215,248.77973896361408
1,full,1000,random,1e-05,0.15975546836853027,248.77973896361408
1,full,1000,random,0.0001,0.1615889072418213,248.77973896361408
1,tied,100,kmeans,1e-06,0.14323072433471679,248.77973896361408
1,tied,100,kmeans,1e-05,0.14467740058898926,248.77973896361408
1,tied,100,kmeans,0.0001,0.1362316131591797,248.77973896361408
1,tied,100,random,1e-06,0.1222048282623291,248.77973896361408
1,tied,100,random,1e-05,0.11923975944519043,248.77973896361408
1,tied,100,random,0.0001,0.12347092628479003,248.77973896361408
1,tied,200,kmeans,1e-06,0.14052767753601075,248.77973896361408
1,tied,200,kmeans,1e-05,0.14933290481567382,248.77973896361408
1,tied,200,kmeans,0.0001,0.15208964347839354,248.77973896361408
1,tied,200,random,1e-06,0.13061437606811524,248.77973896361408
1,tied,200,random,1e-05,0.1305215835571289,248.77973896361408
1,tied,200,random,0.0001,0.13288211822509766,248.77973896361408
1,tied,300,kmeans,1e-06,0.15392622947692872,248.77973896361408
1,tied,300,kmeans,1e-05,0.1547900676727295,248.77973896361408
1,tied,300,kmeans,0.0001,0.1536849021911621,248.77973896361408
1,tied,300,random,1e-06,0.12795825004577638,248.77973896361408
1,tied,300,random,1e-05,0.12408795356750488,248.77973896361408
1,tied,300,random,0.0001,0.12315077781677246,248.77973896361408
1,tied,500,kmeans,1e-06,0.13593635559082032,248.77973896361408
1,tied,500,kmeans,1e-05,0.1388688564300537,248.77973896361408
1,tied,500,kmeans,0.0001,0.13699917793273925,248.77973896361408
1,tied,500,random,1e-06,0.12036514282226562,248.77973896361408
1,tied,500,random,1e-05,0.11970434188842774,248.77973896361408
1,tied,500,random,0.0001,0.11974806785583496,248.77973896361408
1,tied,1000,kmeans,1e-06,0.14014606475830077,248.77973896361408
1,tied,1000,kmeans,1e-05,0.13995609283447266,248.77973896361408
1,tied,1000,kmeans,0.0001,0.1443145751953125,248.77973896361408
1,tied,1000,random,1e-06,0.12863306999206542,248.77973896361408
1,tied,1000,random,1e-05,0.12466650009155274,248.77973896361408
1,tied,1000,random,0.0001,0.12474570274353028,248.77973896361408
1,diag,100,kmeans,1e-06,0.046707534790039064,248.77973896361408
1,diag,100,kmeans,1e-05,0.049517154693603516,248.77973896361408
