SMILES,Viscosity_40C
C(CCC)C(=CCCCCCCCCCCCCCC)C1=CC=CC2=CC=CC=C12,3.80666249
CCCCCCCCCCCCCCCC(CCCCCC)CCCCCC,2.322544571
CCCCCCCCCCCCCCCCCCC1CCCCC1,2.267993648
C(CCCCCC)C(CCCCCCCCC)(CCCCCCCCCC)CCCCCCCC,3.102342009
O(C1=CC=CC=C1)CCOC1=CC=CC=C1,2.140066163
C(CCCCCCCCC(=O)OCCCC)(=O)OCCCC,2.564949357
CCCCCCCCCCCCCCCC(Cc1ccccc1)Cc2ccccc2,3.335769576
CCCCCCCCCC1CCC(CC1)C2CCCCC2,3.046392117
CCCCCCCCCCC=C,-0.040821995
C(C)C(CCCCCC)(C)C1=CC=CC2=CC=CC=C12,3.713572067
C(CCCCCCCCCCCCCCCCCC)C1=CC=CC=C1,2.118662255
C(CCCCCc1ccccc1)CCCCc2ccccc2,2.206074193
C1(CCCC1)CC(CCCCCCCCCC)CCCCCCCCCC,2.336019869
C(CCCCC(=O)OCCCCCCCCCCCC)(=O)OCCCCCCCCCCCC,3.891820298
CCCCCCCCC(CCCCCCCC)=CCCCCCCC,1.769854634
C(CCC=CCC=CCC=CCC=CCC=CCC=CCC)(=O)OC,2.116255515
CC(CC)CC(CC)(C1CCCCC1)C,1.547562509
C(CCCCCC)C=1C=C2CCCCC2=CC1,1.609437912
CCCCCCCCC1CCC(CC1)C2CCC(CCCCCCCC)CC2,3.097219247
CCCCC(CC)CCC(C)C,-0.13694292
C(CCCCC(=O)OCCCCCCCC)(=O)OCCCCCCCC,3.17805383
CCCCCCCCC(CCC)C1CCC2CCCCC2C1,2.677735313
CCCCCCCCCCC1CCCCC1,1.160020917
CCCCCCCCCCc1cccc(CCCCCCCCCC)c1,2.218986069
C1(CCCCC1)CCCCCCCCC1CCCCC1,1.62924054
CCCCCCCCCC(C1CCCCC1)C2CCCCC2,3.053000681
CCCCCCCCC(CCCCCCCC)CCCC1CCCC1,2.200552367
CC=1C(=C(C=CC1)C1=CC=C(C=C1)C)C(C)C,2.302585093
CCCCCCCCCCC1CCCC1,0.862889955
CCCCCCc1cccc2ccc(CCCC)cc12,2.2188382
C(CCCCCCCCCCCCCCCCC)C=1C=C2CCCCC2=CC1,3.161246712
C(C)C1=CC=C(C2=CC=CC=C12)C,0.955511445
C(CCCCCCCC)C(CCCCCCCCC)CCCCCCCCCC,2.708050201
CCCc1ccccc1c2ccccc2,1.486139696
CCCCCCCCCCC(CCCC)CCCC,1.176887281
C(CCCC)OC(=O)C1=CC=C(C=C1)C(=O)OCCCCC,3.526360525
CCCCCCCCCCCCCCCC,0.802001585
CCCCCCC=CCCCCCC,0.405465108
CCCCCCC(C)CCC=C,-0.030459207
CC(C)c1ccc2ccc3ccccc3c2c1,3.263719163
CC=1C(=CC2=CC=CC=C2C1)CCC,1.131402111
CCCCCCc1ccccc1,0.182321557
CCCCCCc1ccc2cc(CCCCCC)ccc2c1,2.409486022
CCCCOCCOCCOCCCC,0.476234179
CCC(C)(c1ccccc1)c2ccccc2,1.995720201
CCCCCCCCCCCCCCCCc1ccccc1,1.778336449
CCCCCCCCCCC(CCC)CCC,0.942488553
C(CCCCC)(=O)OCC(COC(CCCCC)=O)(COC(CCCCC)=O)COC(CCCCC)=O,2.988647234
C1(CCCCC1)C1=C(C=C(C=C1)C)C,1.280933845
CC(C)c1cccc2ccccc12,1.138717226
CCCCCCC(C)CCCCCC,0.39877612
CC(C)CCCCCCCCCCC,0.418710335
CCCCCCC1CCCC1,0.076961041
CCCCCCC(C)C(C)C(C)C(C)CCCCCC,1.402883497
Cc1ccc(C)c(CC2CCCCC2)c1,1.961759595
C1CCC(C1)CCCC(CCCC2CCCC2)CCCC3CCCC3,3.093766014
CCCCCCc1cc2ccccc2cc1CCCCCC,2.625885243
CC(=CC)CCCCCCCCCCCCCCC,0.693147181
C1(CCCCC1)C1=C(C=C(C=C1)C)C,1.280933845
C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OC,1.166270937
CCCCCCCCCCCCCC(C)(C)C,1.091923301
Cc1cc(C)c(C2CCCC2)c(C)c1,1.451309331
C(CCCCCCCCC)(=O)OCCCCCCCCCC,1.808288771
CCCCc1ccccc1,-0.235722334
C(CCCCCCCCCCC)C1CCC(CC1)CCCCCCCC,2.028148247
CCCCCCCC1CCC(CC1)C2CCCCC2,2.733977823
C1(=CC=CC=C1)CC(CC1=CC=CC=C1)C,2.397895273
C1CCC(CC1)CCCCC2CCCCC2,1.873210416
C(COCCOCCOCCOCCCC)O,2.302585093
C(C)C(CCCC)CCCCCCCCC(CCCC)CC,1.568615918
C(C1=CC(C(=O)OCCCCC)=CC=C1)(=O)OCCCCC,2.708050201
CCCCCCCCCCCCCCCCCC,1.131402111
CC(CCCCCC)C1=CC=CC=C1,0.524728529
CCCCCCCCCCCCCCCCCCCCCCC1CCC2CCCCC2C1,3.169164437
CCCC(c1ccccc1)c2ccccc2,1.431435017
CCC(CC)CCCCCC(CC)CC,0.415369233
CCCCCCCCCCCCCCCCCCCCCC,1.609437912
C(CCCCCCCCC)(=O)OCCCCCCC,1.280933845
CC1=CC=C(C2=CC=CC=C12)C(C)C,1.609437912
CC(CCCCCCCC)CCCCCCCC,1.193922468
CCCCCCC(=CCCCCC)c1ccccc1,1.398716881
CCCCCCC(CCC)C(CCC)CCCCCC,1.359529353
C1CCC(CC1)C2=CC=CC=C2,0.587786665
C(CCC)C1C(CCC1)CCCCCCCCCCCC,1.16315081
CCCCCCCCCCCCC,0.270027137
C(CCCCCCC)C1CCCC2=CC=CC=C12,2.564949357
CCCCCC=CCCCCC,0.039220713
CCC(CC)(CC)CCC(CC)(CC)CC,1.387915546
C(CCCCCCC(=O)OCCCC)(=O)OCCCC,1.463255402
C(CCC)C(CCCC)(CCCCCC)CCCC,1.722766598
[CH2]1CC[C]2(CC1)CC[CH2]CC2,0.783901544
C(CCc1ccccc1)CCc2ccccc2,1.550748916
CCCCCCCCCCCCCC(C1CCCCC1)C2CCCCC2,3.394508394
CCCCCCCCC1CCCC2CCCCC12,1.765240941
C1(=CC=C(C=C1)C(=O)OCC)C(=O)OCC,2.186051277
C(CCCCC)C(=CCCCCC)CCCCCC,0.587786665
C(CCCCCCCC)C(CC=CCCCCCC)CCCCCCCCC,2.564949357
CCCC(C1CCCCC1)C2CCCCC2,2.262804223
CCCCC(C)(CC)C1CCCC2CCCCC12,2.245796728
CCCCCC(CCCCC)C(CCCCC)CCCCC,1.682688374
CCCCCC(c1ccccc1)c2ccccc2,1.881112547
CCCCCCc1cc2CCCCc2cc1CCCC,2.448618632
CCCCCCCCCC,-0.356674944
C(CC)C(CCCCCCCCC)C(CCCCCCCCC)CCC,2.00148
C1(CCCCC1)C1CCC(CC1)C1CCCCC1,3.054001182
CCC1=C(C2=CC=CC=C2C=C1)C,0.993251773
CCCC(CC)(CCC)CCC,0.470003629
C(CCCCCCCCC(=O)OCCCCCC)(=O)OCCCCCC,3.17805383
CCCCC(CC)CCC(CC)CCCC,0.618261983
C1(CCCC1)CC(CCCCCC)CCCCCC,1.420695788
CC(CCCCCC)OCCCCCCOC(CCCCCC)C,3.36729583
CCCCCCCCCCCCCCCC(CCCC)CCCC,1.893111963
CCc1cccc(Cc2ccccc2)c1,0.954949749
C1(CCCCC1)C(CCCCCCCCCCCC)C1CCCCC1,2.833213344
C(CCCCC)C(CCCCCC)=CCCCCCCC,1.029619417
CC(C)CCCC(CCCC(CC)C)(O)C,3.850147602
CC1=CC2=CC=C(C=C2C=C1CCCCCCCC)C,2.515274186
C(CCC)C(CCCCC)(CCCCCCCC)CC,2.014903021
C(CCCCCCCCCCCCCC)(=O)OCC,1.386294361
CC(OCCCC)COC(COC(COCCCC)C)C,2.63905733
CC(CC1=CC=CC=C1)(CCCCCCC)CC(C)C,1.871802177
CCCCCCCCCCCCCCCCCCCCC,1.458615023
CC(C)Cc1cccc2CCCCc12,1.404831482
CCCCCCCCCCCCCCCCC1CCCCC1,2.029463172
C(C=1C(C(=O)OCCCCC)=CC=CC1)(=O)OCCCCC,3.17805383
CCCCCCCCCCCCCC,0.470003629
